Detectec cases (1 day to 14 days delay)
362.19368271985934
1122.7726908342754
1686.8184392137275
2026.497953818954
2313.6163677987633
2492.318554194226
2734.7266061733217
2849.5798049484647
3081.299163077659
3339.892786223437
3187.289218139398
3498.6595083676175
3536.3207427630414
3824.686321986318


50 simulations
