Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0381704809886143,1.0367895039580333,1.0395514580191954,10000000
2,1.041000266258475,1.039616208134449,1.0423843243825008,10000000
3,1.046087546190531,1.0446985585034707,1.0474765338775913,10000000
4,1.0481964311718635,1.0468069969074556,1.0495858654362713,10000000
5,1.0505376745377668,1.0491434616512574,1.0519318874242762,10000000
6,1.053806462496182,1.0524071818903273,1.0552057431020367,10000000
7,1.0572161143502767,1.0558142923277332,1.0586179363728203,10000000
8,1.060434236797621,1.059030654211811,1.0618378193834308,10000000
9,1.0640666062881927,1.062657180843678,1.0654760317327074,10000000
10,1.0663833996725671,1.0649727418520885,1.0677940574930458,10000000
11,1.068554026361234,1.0671378293374694,1.0699702233849988,10000000
12,1.07238827711866,1.0709673296335709,1.073809224603749,10000000
13,1.0754387574858406,1.0740156671142034,1.0768618478574778,10000000
14,1.0765008556169493,1.0750778914963492,1.0779238197375494,10000000
