Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.1291029822740903,1.0098093630332847,1.248396601514896,200
2,1.031274092436565,0.9135666446821392,1.148981540190991,200
3,1.1013223084105703,0.9817381716911873,1.2209064451299534,200
4,1.0542316401091045,0.9544485647674779,1.1540147154507312,200
5,0.9917397869606626,0.8888275120141935,1.0946520619071316,200
6,1.0623333667952968,0.9420570511294184,1.1826096824611751,200
7,1.156457595129969,1.037963203025402,1.2749519872345358,200
8,1.0278470394535233,0.9085183610247718,1.1471757178822748,200
9,1.1141350785885502,0.9953885747888214,1.232881582388279,200
10,1.0071839462312875,0.9096937143262582,1.1046741781363167,200
11,1.0605951638256488,0.9641674081333228,1.1570229195179746,200
12,1.077975817033582,0.9561228856817828,1.1998287483853811,200
13,1.136419002847113,1.013205166046953,1.2596328396472731,200
14,1.0193694757126643,0.9003360719687772,1.1384028794565515,200
