Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,469.0946793608233,905.4745085605618,72.26027102540566,865.9290876962409,802.1286131465152,104.85574116528295,209.486264806843,13.046024643086675,196.6654576874792,181.90488410979447,0.021846001734095604,0.0007806836023029513,0.02150385834685707,0.022188145121334133,0.022133137516118062
2.0,5565.122277684205,9887.467921755739,1231.828026360809,9898.416529007602,9201.737451309396,1184.986954757879,2089.845611750517,269.08856224568734,2100.8853472700707,1953.6331159761103,0.021638290037996305,0.0009134636506823807,0.021237954298086063,0.022038625777906544,0.02197426238186781
3.0,6066.414307953098,9328.694320788409,1978.0088847932057,10154.81973111299,9497.512298414762,1337.241794292277,2079.5845368293626,425.84043350955363,2248.6431550750003,2102.1139275135256,0.02177208115682247,0.0013089492290437178,0.021198419404958892,0.022345742908686045,0.02225351327528947
4.0,7151.470440967517,18063.090839989636,-764.8826958991297,15067.823577834162,13795.083421672096,1547.3103077326296,3902.7803206016215,-163.12715323037975,3257.747768695639,2982.7546748386408,0.021668743549058265,0.0009168543792813825,0.021266921784125023,0.022070565313991507,0.022005963004442075
5.0,10986.957445094673,15993.029460801825,3977.832037845608,17996.082852343738,16869.20091426579,2315.592592488859,3396.0860243987263,827.2196174275618,3803.965567550156,3564.6745682786527,0.02114701189771792,0.0007703156052941538,0.020809412402018813,0.021484611393417032,0.0214303343257512
6.0,14200.207641793764,22703.802794734715,4250.010188598484,24150.405094989048,22550.676578401457,3027.48129296738,4765.917508826068,938.764231460061,5116.198354474698,4780.387908290711,0.02144050320648587,0.0011255747929496995,0.020947207367923253,0.021933799045048483,0.021854490124419056
7.0,14609.777813932247,17895.811595237632,6766.7366913634805,22452.818936501015,21191.8654127583,3090.379056591728,3786.3212735268517,1430.9810855362707,4749.777027647185,4482.989733510369,0.021407164035703474,0.0012524737993963454,0.02085825327737723,0.021956074794029716,0.021867824465602897
8.0,15099.933704544055,17540.08628184367,7412.793209697027,22787.07419939108,21551.185372212785,3077.3192963292177,3551.707186772192,1520.7435929623853,4633.89499969605,4383.638806025876,0.020701271863456598,0.0009003713723156397,0.020306673962094332,0.021095869764818864,0.02103242886142331
9.0,9982.397537924144,16302.80516778725,2837.509435827192,17127.285640021095,15978.576652232974,2146.9255478906975,3554.9728289351146,588.918640041236,3704.932455740159,3454.446162251897,0.02102778724987326,0.0009659728400768964,0.020604438765917173,0.021451135733829348,0.021383072497353453
10.0,22405.594036532028,29727.49029737898,9377.186376319876,35434.00169674418,33339.3784133563,4709.910248356073,6332.266462134942,1934.723104856872,7485.097391855274,7038.920717150465,0.020809095574840314,0.001027788706903382,0.020358655590564878,0.02125953555911575,0.02118711672609799
11.0,29481.883517970113,39854.65851441244,12015.130250537673,46948.636785402545,44140.444945436786,6174.106121441895,8471.12647527018,2461.5394716172145,9886.672771266574,9289.790270452546,0.02085702818569139,0.0010312406854472134,0.020405075332914326,0.021308981038468452,0.02123631897621878
12.0,35105.67898324557,36957.56690890393,18908.608762984837,51302.749203506304,48698.688807880484,7316.857058847751,7817.5214333252125,3890.740184972704,10742.9739327228,10192.14497781198,0.02072235019907906,0.0008925594278647742,0.020331175970415255,0.021113524427742867,0.02105063396034348
13.0,18786.39111438031,23105.515654206363,8660.138473101844,28912.643755658777,27284.61022239241,3840.8887614672694,4678.726561788068,1790.3841151664637,5891.393407768075,5561.726507034425,0.020465295297834793,0.0006379312474848013,0.020185714738955512,0.020744875856714078,0.020699926699189665
14.0,20384.60040846014,30737.168829504175,6913.689752175986,33855.51106474429,31689.74500606762,4176.199583553519,6332.157489678687,1401.0601984614232,6951.338968645614,6505.169972229212,0.020475748717679237,0.0011704937932981055,0.019962766620963853,0.020988730814394625,0.020906256864256987
