Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,9322.77293873787,10757.876917779515,5988.933602846046,12656.612274629697,12120.619106611213,5627.869519108702,6340.927116394497,3662.831955635403,7592.907082582001,7276.981027723203,0.061325255944585134,0.005475660448688725,0.05962836237224322,0.06302214951692706,0.06274933392205483
2.0,11025.334898962989,15422.061317926033,6246.076402589542,15804.593395336437,15036.215065081598,6842.954322406216,9502.494323090363,3898.1549344293644,9787.753710383067,9314.30787388226,0.061077565912415116,0.0051515969297860585,0.0594810988196567,0.06267403300517353,0.06241736333142156
3.0,10322.171826647806,10722.226126271154,6999.380582493282,13644.963070802327,13110.746143656368,6379.152625771238,6448.353028813193,4380.824038868992,8377.481212673481,8056.202841966063,0.06260421458172129,0.004736781760065666,0.06113629767972151,0.06407213148372107,0.06383612927982954
4.0,18480.508692079333,22046.58113104751,11648.327959917968,25312.689424240696,24214.255508820355,11457.15739137985,13586.12041965467,7246.852419183084,15667.462363576613,14990.556708263131,0.06260091854557602,0.005686442142320732,0.060838704249927184,0.06436313284122487,0.06407981540211391
5.0,23738.506985643253,21491.448621664436,17078.360439275082,30398.65353201142,29327.878162477813,14220.819474182565,12974.022724872251,10200.202057241408,18241.43689112372,17595.027976484136,0.061149080837148234,0.004832217016920837,0.05965158878609568,0.06264657288820079,0.062405815782756335
6.0,21758.54928813375,27632.90185607038,13195.181638857786,30321.91693740971,28945.153964513,13725.1967638781,17450.152345982766,8317.437895379146,19132.955632377056,18263.531069351007,0.06363893516892054,0.005395828157853284,0.061966781425217256,0.06531108891262381,0.06504225082770099
7.0,18045.364107634203,21135.973615438743,11495.378382749597,24595.349832518812,23542.28540875959,11307.302046372146,12882.9095670879,7314.920370717151,15299.68372202714,14657.814367605828,0.06360290630044643,0.007309505514451616,0.06133770869721648,0.06586810390367638,0.06550392005520118
8.0,16961.593820858896,16753.25909582981,11769.800439605633,22153.38720211216,21318.684176037594,10559.822054238115,10241.226034944537,7386.091543654731,13733.552564821497,13223.300660210907,0.06333713895505487,0.0059973905604912454,0.061478562516963486,0.06519571539314624,0.06489690547080466
9.0,18226.749721600278,19759.491278729616,12103.332453889318,24350.16698931124,23365.68348853645,11105.709835077861,12326.019274999864,7285.907077710267,14925.512592445457,14311.389362484973,0.061168746424350544,0.005721708301973048,0.05939560323342122,0.06294188961527987,0.06265681509893327
10.0,25023.045141605446,25888.332139322283,17000.31531430421,33045.77496890668,31755.93225513318,15405.278564592478,15601.802996268387,10570.318568551693,20240.238560633265,19462.904902822997,0.06290457360679878,0.0060321593924244875,0.06103522239405179,0.06477392481954579,0.06447338259848778
11.0,21647.96233421256,21341.96511748452,15034.140354495488,28261.78431392963,27198.456709190534,13002.071138079018,12813.269674596646,9031.270692132175,16972.871584025863,16334.471920407124,0.06165504000059444,0.0059283971951502295,0.05981784443505324,0.06349223556613565,0.06319686312246613
12.0,30557.39245140264,21536.005182497753,23883.437937503943,37231.34696530134,36158.351639880566,18692.846551847153,12963.431592055542,14675.511300659135,22710.18180303517,22064.30057381853,0.06215442167163532,0.0056449160135976,0.06040507622013319,0.06390376712313744,0.06362251865371818
13.0,19181.376414019895,24115.03403200936,11708.187265572473,26654.565562467313,25453.07445167683,11753.815585744464,14792.02644620927,7169.803331205363,16337.827840283564,15600.839940448644,0.06109941436862977,0.005164161880053682,0.059499053428992844,0.06269977530826669,0.06244247960694893
14.0,22449.700795411925,15675.598002062055,17591.87191037124,27307.529680452615,26526.519310290867,13554.703564075562,9323.250743156343,10665.451316306506,16443.95581184462,15979.440485981744,0.06089509118154728,0.005395627034389467,0.05922299976550589,0.06256718259758867,0.06229835453330501
