Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,-7.362371293636072e-11,1.6932382043488087e-10,-1.4783178557021808e-10,5.843596974966134e-13,-1.1346335196931115e-11,-7.576495133758739e-10,5.607134126130066e-09,-3.2150392381704614e-09,1.6997402114187139e-09,1.3046569542657789e-09,0.2932909271638459,21.29515303377933,-9.03954989240383,9.626131746731524,8.125657844573865
4.0,1.3525182082174187e-13,3.5330501985755797e-13,-1.9588085980261257e-14,2.90091727623745e-13,2.651975669216993e-13,9.622472074937931e-14,2.4488130197295774e-13,-1.1097269723139664e-14,2.0354671122189829e-13,1.8629217437241127e-13,0.07923923880912426,0.021884147708742502,0.06964826443511417,0.08883021318313433,0.08728823823438216
7.0,2.1575096674700844e-13,5.874115543056511e-13,-4.168876722500544e-14,4.731907007190223e-13,4.3180120210103237e-13,1.4357215834231085e-13,3.757361474516051e-13,-2.1098442933058102e-14,3.082427596176798e-13,2.817680833167348e-13,0.08624834175515605,0.027931275727585782,0.0740071453740118,0.0984895381363003,0.0965214776008004
10.0,6.001384149310396e-13,8.697533044181697e-13,2.189592268992941e-13,9.813176029627852e-13,9.200340736768141e-13,4.466898010549892e-13,6.62697903543315e-13,1.5625497603070876e-13,7.371246260792696e-13,6.904303897098931e-13,0.07732533974258621,0.013621168451055557,0.07135570915441582,0.08329497033075661,0.0823352116596035
13.0,3.1153095233220978e-12,1.184677332551148e-11,-2.076672403134002e-12,8.307291449778198e-12,7.472558110623004e-12,1.984399009278001e-12,7.292508952880352e-12,-1.2116252280000743e-12,5.180423246556077e-12,4.666587100476686e-12,0.07680468802031835,0.014243122271363623,0.07056247916079908,0.08304689687983763,0.08204331483374848
