Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0387013484789027,1.0279757262475797,1.0494269707102257,20000
2,1.0422833892373229,1.0315505431551595,1.0530162353194863,20000
3,1.0468257082432517,1.0359209692583797,1.0577304472281237,20000
4,1.0378315705689272,1.0270345408127284,1.048628600325126,20000
5,1.0439642679317775,1.0330071599708281,1.054921375892727,20000
6,1.0501893458777336,1.039355178814226,1.0610235129412413,20000
7,1.0423822422970708,1.03163420861806,1.0531302759760814,20000
8,1.0407034973399973,1.0299515654779579,1.0514554292020368,20000
9,1.0386198666857973,1.0278994834123474,1.0493402499592472,20000
10,1.039809929474152,1.0289745533748287,1.0506453055734755,20000
11,1.0412241295767994,1.0303556301103207,1.0520926290432782,20000
12,1.0383495824657984,1.0276390638875517,1.0490601010440452,20000
13,1.0342627727898122,1.0236236624528265,1.0449018831267978,20000
14,1.046536149955453,1.03565002050172,1.057422279409186,20000
