Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0370442356867686,1.0350952681876096,1.0389932031859277,5000000
2,1.0418518616027872,1.039895620836612,1.0438081023689625,5000000
3,1.044823698563512,1.042859497169147,1.046787899957877,5000000
4,1.0476983838438962,1.045732424287685,1.0496643434001074,5000000
5,1.0507035854694118,1.0487349631686445,1.0526722077701791,5000000
6,1.0540825915427132,1.0521071542987281,1.0560580287866983,5000000
7,1.0575025923892099,1.055523818500151,1.0594813662782687,5000000
8,1.0597166472802717,1.0577318624455962,1.0617014321149472,5000000
9,1.0631577628196325,1.0611633963256684,1.0651521293135966,5000000
10,1.0659835242096354,1.0639909176272033,1.0679761307920674,5000000
11,1.0685200629744325,1.0665195150118634,1.0705206109370016,5000000
12,1.0733225534242123,1.071310339590792,1.0753347672576328,5000000
13,1.075520339890828,1.0735079778225047,1.0775327019591512,5000000
14,1.0760049470571125,1.0739921369564478,1.0780177571577771,5000000
