Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0490409158005962,1.005097445677183,1.0929843859240094,10000
2,1.0270004943675213,0.982400528923538,1.0716004598115045,10000
3,1.076032001979161,1.0293350537087336,1.1227289502495883,10000
4,1.0277306005557132,0.9849402892485285,1.0705209118628978,10000
5,1.0648981888122713,1.02042099756899,1.1093753800555526,10000
6,1.0419547733663896,0.9976394907315214,1.086270056001258,10000
7,1.0717199812540212,1.0243473075732503,1.1190926549347922,10000
8,1.0450763891918133,1.0002996820193646,1.089853096364262,10000
9,1.0589553465722925,1.0149919250797337,1.1029187680648513,10000
10,1.069490218622712,1.0240179040419222,1.1149625332035018,10000
11,1.0972189325189161,1.0490033365760767,1.1454345284617555,10000
12,1.0839217396228347,1.0381679370406875,1.1296755422049818,10000
13,1.0390235647299246,0.994652403031318,1.0833947264285313,10000
14,1.0862124560759108,1.041311091691485,1.1311138204603366,10000
