Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0392519245244771,1.0255092714558154,1.0529945775931389,100000
2,1.050618214409161,1.036677453050589,1.064558975767733,100000
3,1.0466747257037687,1.0326869336335762,1.0606625177739613,100000
4,1.037131093130573,1.023423500791434,1.050838685469712,100000
5,1.0638313110691822,1.0494334219088177,1.0782292002295466,100000
6,1.043967864818142,1.0301302538399202,1.057805475796364,100000
7,1.0496534551792542,1.0357660663101271,1.0635408440483813,100000
8,1.0575112331463001,1.043303307408343,1.0717191588842572,100000
9,1.0695291010014354,1.0552279356529088,1.083830266349962,100000
10,1.0567045806498871,1.0429784110363642,1.07043075026341,100000
11,1.0786679718948102,1.0644168573473556,1.0929190864422649,100000
12,1.0876942403447454,1.0731965889792265,1.1021918917102642,100000
13,1.0806593265129305,1.0665366346493714,1.0947820183764896,100000
14,1.0827043616331877,1.0683067292961927,1.0971019939701827,100000
