Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.0421204552951047,1.0377246305339007,1.0465162800563086,1000000
2,1.0407714034354687,1.036400800653399,1.0451420062175385,1000000
3,1.0463692528914674,1.0419794369910549,1.05075906879188,1000000
4,1.048928379680215,1.0445177841147772,1.0533389752456526,1000000
5,1.051146765212763,1.0467482072665697,1.0555453231589564,1000000
6,1.0551045413310602,1.050682728880265,1.0595263537818556,1000000
7,1.0585301915583676,1.0540901715820796,1.0629702115346555,1000000
8,1.0626591388980857,1.0582017671034336,1.0671165106927378,1000000
9,1.0623110350207556,1.0578512032851846,1.0667708667563267,1000000
10,1.0669169111611188,1.0624454035638042,1.0713884187584333,1000000
11,1.0724744066712293,1.0679854990479432,1.0769633142945154,1000000
12,1.0718066484173845,1.0673254139788526,1.0762878828559164,1000000
13,1.0723048008527207,1.0678176248102411,1.0767919768952003,1000000
14,1.0825627171658514,1.0780144224014019,1.087111011930301,1000000
