Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.213311801062484,1.210918970063673,1.2157046320612948,100000000
2,1.2151511197366758,1.2127480341234362,1.2175542053499153,100000000
3,1.2200604869713576,1.2176458407068989,1.2224751332358164,100000000
4,1.225563578209108,1.2231421392893365,1.2279850171288798,100000000
5,1.2295062371872623,1.2270774002212341,1.2319350741532904,100000000
6,1.23393900998073,1.2315053774657323,1.2363726424957275,100000000
7,1.2363922381876367,1.2339498729765546,1.2388346033987188,100000000
8,1.2403974542199276,1.2379470445023568,1.2428478639374985,100000000
9,1.2470663034474971,1.2446041635739316,1.2495284433210627,100000000
10,1.2502391579512284,1.2477687400470097,1.2527095758554472,100000000
11,1.252947169037495,1.2504745878023082,1.2554197502726816,100000000
12,1.257228891927368,1.2547436197844999,1.259714164070236,100000000
13,1.260919053042731,1.2584273829304533,1.2634107231550087,100000000
14,1.2622056210896868,1.2597180128326482,1.2646932293467255,100000000
