Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.041841899862779,1.0384307732661473,1.0452530264594107,200000
2,1.04056601883119,1.0371594514934175,1.0439725861689626,200000
3,1.0423796180785285,1.0389807233431418,1.0457785128139152,200000
4,1.043598180438089,1.0401844838848262,1.0470118769913517,200000
5,1.0420443558321935,1.0386258883585462,1.0454628233058407,200000
6,1.043144590961833,1.0397257152428074,1.0465634666808588,200000
7,1.0398820246041949,1.0364745390085344,1.0432895101998554,200000
8,1.0431622455814513,1.0397535600012533,1.0465709311616493,200000
9,1.0417898722663788,1.0383802234334985,1.045199521099259,200000
10,1.04167372013919,1.038252229366765,1.0450952109116147,200000
11,1.0400987893470923,1.0366976656115043,1.0434999130826803,200000
12,1.0393995804534777,1.0359814547676425,1.042817706139313,200000
13,1.0379683926240664,1.0345717479235035,1.0413650373246293,200000
14,1.0410647181930877,1.0376581360693138,1.0444713003168615,200000
