Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,0.9450215024211326,0.6918145439957656,1.1982284608464995,20
2,1.0918916329830148,0.7590877365083564,1.4246955294576733,20
3,0.9472275965848006,0.6342552287112719,1.2601999644583293,20
4,0.843455029496685,0.5773756420920064,1.1095344169013637,20
5,0.7021884750655497,0.526806695216562,0.8775702549145374,20
6,0.7608032762794977,0.5594086594461088,0.9621978931128866,20
7,0.8979822595809356,0.6216855935000087,1.1742789256618624,20
8,1.1721296229738123,0.7008541299649066,1.643405115982718,20
9,1.081085309828004,0.7635163493411392,1.3986542703148688,20
10,1.149555213257153,0.8088321131307774,1.4902783133835285,20
11,1.0799359096550132,0.7536788717450109,1.4061929475650154,20
12,0.9256622280071909,0.743301302758365,1.1080231532560167,20
13,1.2227200311726427,0.8096788252355447,1.6357612371097408,20
14,1.2876518217636328,1.0230825577394096,1.552221085787856,20
