Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,69049.21541282708,37279.687472756195,57496.33286208663,80602.09796356752,78744.70008255645,41088.06642865295,22008.21636760742,34267.77484138944,47908.358015916456,46811.83556046668,0.06014546177353264,0.00454298220366221,0.05873760287269371,0.061553320674371574,0.061326974208223764
2.0,71389.58937130797,36188.203722753344,60174.95492361399,82604.22381900194,80801.20728455916,44348.72384253418,22294.387433412176,37439.74855278312,51257.69913228523,50146.91868361539,0.0622790776333258,0.0056484906814282,0.0605286244011419,0.0640295308655097,0.0637481042942633
3.0,63809.89794591734,31641.74644787899,54004.199314999394,73615.59657683529,72039.09964813304,39570.996391105626,19678.365312786234,33472.71985873597,45669.27292347528,44688.831387841645,0.06207971931268128,0.00475833758625148,0.06060512231368791,0.06355431631167466,0.06331724012490947
4.0,61957.97895540683,30473.295855668905,52514.38026076145,71401.5776500522,69883.29681169736,39155.22055157496,19596.105489907764,33082.43613399447,45228.004969155445,44251.6618911824,0.06313586584770595,0.0043910098227618105,0.06177510281023179,0.0644966288851801,0.0642778541879336
5.0,65101.188059635926,33054.410311864944,54857.70840611064,75344.66771316121,73697.78717758281,40318.96147840642,19558.815241215732,34257.73321627229,46380.18974054055,45405.704586643544,0.0628114121357885,0.00483680044090203,0.06131249969302871,0.0643103245785483,0.06406933911169399
6.0,64648.92596725425,36668.00664164161,53285.60178675418,76012.25014775431,74185.32823788431,40120.89613484169,22008.983896088266,33300.36669240839,46941.42557727499,45844.8648810064,0.06305651184770827,0.004289373838769616,0.061727245549225,0.06438577814619155,0.06417206729132408
7.0,65232.223280615115,37934.91983186378,53476.28584928464,76988.1607119456,75098.11697798134,40457.629955487966,23166.95202761416,33278.2490653113,47637.01084566464,46482.756330064905,0.06269406441078257,0.0048977519906356175,0.061176263234154704,0.06421186558741043,0.06396784331185427
8.0,68518.9294547966,30356.832401932672,59111.42249518659,77926.43641440662,76413.95817223348,42249.09900560193,19186.04482292837,36303.3913701901,48194.80664101376,47238.89414777912,0.061697593561996625,0.0039421841149193245,0.06047592049656815,0.0629192666274251,0.06272285391803858
9.0,62123.910413259015,32609.26835650215,52018.37914603583,72229.4416804822,70604.73959597702,38414.7932196072,20335.085026636043,32113.000879107254,44716.58556010714,43703.424066565756,0.06195053786153685,0.003926946672185906,0.06073358684176398,0.06316748888130973,0.06297183535194224
10.0,68455.35772054481,31239.869861652947,58774.19964549807,78136.51579559155,76580.04169353531,42871.36951523422,19838.144725732927,36723.57773966011,49019.16129080832,48030.75901400021,0.06253897746257087,0.004846333547926419,0.061037110733623,0.06404084419151873,0.06379938375360145
11.0,69152.62921663916,34645.79288376957,58415.98405683261,79889.27437644573,78163.10587422077,42621.139909801575,21367.073377138437,35999.53694278285,49242.7428768203,48178.16429517022,0.06173879181071945,0.004423107612412185,0.06036808174795867,0.06310950187348023,0.0628891279577176
12.0,74766.9092033581,42314.03590212228,61653.89457891196,87879.92382780422,85771.69798285677,45527.541623636265,26358.901295833828,37358.983583554225,53696.099663718305,52382.811631235716,0.060541364905127626,0.004121094891158776,0.059264247834529674,0.061818481975725585,0.06161315533708685
13.0,74001.03722776029,36463.016247943866,62701.23906110223,85300.83539441833,83484.12678698442,44377.35854464686,21395.313166918815,37747.00413691853,51007.71295237519,49941.72737057961,0.06057797046932352,0.004266374312505701,0.059255831666902105,0.061900109271744934,0.06168754432968529
14.0,63036.935367405444,39213.389814104594,50884.80326410328,75189.06747070761,73235.32611487659,38880.920792300414,24203.11724931304,31380.43487359588,46381.406711004944,45175.527001697046,0.06201718955914446,0.004380442868973693,0.06065970119440254,0.06337467792388639,0.06315642970738329
