Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,2343.689390765895,3055.4765124100886,2209.779688999407,2477.599092532383,2456.069955088503,1391.0384663242623,1805.4280776567805,1311.9135460514617,1470.1633865970632,1457.4421926781956,0.05959307765697918,0.0024189184569987426,0.05948706582941037,0.05969908948454799,0.05968204558723287
2.0,2756.153145273063,3490.8355620974908,2603.163342491824,2909.142948054301,2884.54623513403,1667.4662676688813,2099.9186268860453,1575.434967176769,1759.4975681609933,1744.7013697429816,0.060850774134869605,0.0026533147409687923,0.060734489625984434,0.06096705864375477,0.06094836317104923
3.0,3361.739044397265,4176.964343752321,3178.6788744730857,3544.7992143214433,3515.3679818804194,2055.8635639291765,2545.5327518526533,1944.302722190437,2167.424405667916,2149.488373674232,0.061435501097533575,0.0027548468404463653,0.061314766829959205,0.06155623536510795,0.06153682448892417
4.0,3929.570756523817,4630.946711285177,3726.6142976912947,4132.527215356339,4099.897186018002,2401.8877524501763,2822.370355062132,2278.194190746822,2525.581314153531,2505.694661762367,0.061474991637336454,0.002732537422106574,0.06135523510516418,0.06159474816950873,0.06157549448731148
5.0,4899.832903992503,5339.261954306521,4665.833731342871,5133.832076642135,5096.211200161406,2983.3408051685146,3215.1044837550035,2842.4352276525096,3124.246382684519,3101.5924934970026,0.061292579273860094,0.0026294263733059684,0.061177341699610636,0.06140781684810956,0.06138928969479662
6.0,5231.366101766376,5322.685858907844,4998.0933951793295,5464.638808353424,5427.134728396796,3194.0912567941805,3237.0803764096277,3052.222561015122,3335.9599525732383,3313.151219448453,0.061288279534059555,0.002690631481632646,0.06117035957695776,0.061406199491161356,0.06138724108164859
7.0,6339.711136864323,6037.880330612996,6075.094226510009,6604.328047218637,6561.784648511592,3853.0622519360013,3652.920071561046,3692.968912853608,4013.1555910183947,3987.41681738596,0.06104234961168978,0.002663505210151958,0.06092561849400771,0.061159080729371845,0.06114031345378686
8.0,7282.5026898434635,6913.086186022114,6979.528896493615,7585.476483193313,7536.766312437371,4403.890214586077,4152.387829581817,4221.907138093859,4585.873291078293,4556.615226766468,0.060802190634115884,0.0026428850306269946,0.06068636321904103,0.06091801804919074,0.06089939606507741
9.0,7743.801188872516,7181.4735267482265,7429.065017835076,8058.537359909957,8007.936109997223,4678.242944782527,4307.175946819795,4489.476104601686,4867.0097849633685,4836.661070915845,0.06067465661970876,0.002638880561718785,0.060559004704996956,0.06079030853442056,0.060771714766122725
10.0,8866.15923951771,7931.289051568245,8518.56155804132,9213.756920994101,9157.872409558708,5350.9674813916035,4766.40273567578,5142.074509627319,5559.8604531558885,5526.275989589416,0.060581862534305746,0.002661307130593933,0.0604652277499376,0.06069849731867388,0.06067974553093726
11.0,10046.499531019032,8295.490949400713,9682.940290904093,10410.058771133969,10351.608063334797,6042.988439214754,4940.607584967115,5826.460743596388,6259.516134833119,6224.704209648613,0.0604588130873204,0.0027577230093375846,0.06033795276840285,0.06057967340623795,0.0605602422643329
12.0,10988.790443523369,9061.28004685934,10591.669633145917,11385.91125390082,11322.064733479543,6588.522250249623,5381.196783807857,6352.685236435333,6824.359264063913,6786.442911344257,0.060253155522216585,0.0026112494810314286,0.06013871457075694,0.06036759647367623,0.06034919739623314
13.0,12003.545825543662,9081.39230407108,11605.543572826813,12401.548078260514,12337.559845229742,7192.372944680781,5414.7543404293865,6955.065233127219,7429.680656234343,7391.527854225728,0.06013657081049572,0.0027155505236166667,0.06001755874829449,0.060255582872696944,0.06023644888157599
14.0,13260.492321499914,9866.845220334282,12828.06670949975,13692.91793350008,13623.395334971408,7929.6060521682,5837.67742551245,7673.763259764364,8185.448844572036,8144.316091910894,0.06004481381145282,0.0026606371636863457,0.059928208389139474,0.06016141923376616,0.06014267216667118
