Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,236910.71423384745,10857.801428874624,232152.16038709084,241669.26808060403,240904.21851026313,122035.60446851389,5069.308529180791,119813.92287303184,124257.28606399594,123900.09843834443,0.051528713448868085,0.0008646896175528306,0.05114975347867428,0.051907673419061884,0.051846746681294534
2.0,232165.34499632224,11847.184135172494,226973.18302790227,237357.5069647422,236522.74467960224,122003.34143534422,6469.989246155722,119167.79572957242,124838.88714111602,124383.00640639209,0.05254872709397767,0.0006623232654810138,0.05225845645830647,0.05283899772964887,0.052792329890583814
3.0,231247.9515700032,10176.347506258177,226788.05258501542,235707.85055499102,234990.81678546575,123320.94652639987,5574.587363033227,120877.82078734388,125764.07226545585,125371.28227985393,0.05332912279981914,0.0005741554282244235,0.05307749271250259,0.0535807528871357,0.053540297426004885
4.0,231806.06978788233,15015.00968304764,225225.5725707989,238386.56700496576,237328.59714044683,125171.57997128778,7536.139555037064,121868.78187682742,128474.37806574814,127943.3755081514,0.05402624667513296,0.001132650284600598,0.053529849922611505,0.05452264342765442,0.05444283596209553
5.0,230473.4402938637,13658.68175274072,224487.36907844406,236459.51150928336,235497.1096202077,122268.16988560947,6736.028911224869,119316.02929827741,125220.31047294152,124745.68436579689,0.05307344137649134,0.00105081768759838,0.052612908681883064,0.05353397407109961,0.05345993259726442
6.0,233986.9257791685,12978.118958107065,228299.11887863596,239674.73267970106,238760.28380183445,125210.6683910925,6639.343234287266,122300.9013913538,128120.4353908312,127652.62183557228,0.053528447046105855,0.0009828291124454665,0.05309771111080919,0.05395918298140252,0.05388993203818713
7.0,234783.91807711558,12097.848985207584,229481.8994131026,240085.93674112856,239233.51240561172,124093.14819433182,5353.173142316897,121747.05973290686,126439.23665575679,126062.04769726295,0.052884327798518815,0.0009917687369790293,0.052449673972018176,0.05331898162501946,0.053249100788546846
8.0,231387.42515829654,11319.54297586491,226426.50787461107,236348.342441982,235550.75818453636,122783.6986357458,5866.70340345523,120212.54974974287,125354.84752174873,124941.47480098825,0.05307646360283246,0.0010047807432590997,0.052636107117930514,0.05351682008773441,0.05344602241465549
9.0,240183.09423920463,10301.916982903038,235668.163015873,244698.02546253626,243972.14396497095,127274.16527810444,5671.241090561378,124788.67995364388,129759.65060256502,129360.05031625887,0.05298965658152628,0.0006134071151001369,0.05272082400005862,0.053258489162993944,0.053215267995898055
10.0,228120.27729925458,10697.501442935594,223431.97672796278,232808.57787054637,232054.82316833982,121256.64177131919,5249.609119711789,118955.9414099973,123557.34213264108,123187.45037989519,0.053167514560047716,0.0007115379572359962,0.05285567503105113,0.0534793540890443,0.05342921854254066
11.0,231972.04218313494,9761.68680399686,227693.87292425885,236250.21144201106,235562.39500475884,121792.82292887813,5153.455450555219,119534.2629967437,124051.38286101258,123688.266174449,0.052509087273161906,0.0008356210115107897,0.0521428669471776,0.05287530759914621,0.05281642905913865
12.0,234600.98893373483,13553.720115887738,228660.91833861393,240541.05952885575,239586.0533225712,124081.56349775621,6768.017134704867,121115.40371096754,127047.72328454489,126570.84326100753,0.05290969222423367,0.0010255540689822764,0.05246023159521216,0.05335915285325517,0.05328689147465326
13.0,232222.01076749025,12513.50133865147,226737.82777505863,237706.19375992185,236824.48221957847,121689.34408378809,5768.9344896530165,119161.04352614282,124217.64464143336,123811.16079831417,0.05242591504578922,0.0008981380098013975,0.05203229594071947,0.05281953415085897,0.05275625061201307
14.0,234283.390587019,10741.117681588961,229575.9747075698,238990.8064664682,238233.97852840816,122640.85935831879,5291.699798086268,120321.7122828252,124960.00643381238,124587.1489374381,0.052356947769874554,0.0006119091138557299,0.05208877170433516,0.05262512383541395,0.0525820082187111
