Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,501812.6728321826,51924.71511824886,479056.0812251013,524569.264439264,520910.6065377069,109162.82481252431,10232.827139746843,104678.17299161835,113647.47663343025,112926.46326272917,0.02178487348828066,0.000511029205005151,0.021560909179740684,0.02200883779682063,0.021972830261014983
2.0,498943.2841296048,39077.195485183496,481817.26279696444,516069.3054622452,513315.89430328226,108591.47419618053,7674.341467604788,105228.10755596193,111954.8408363991,111414.10045899391,0.021790965710158507,0.0007377753882869809,0.021467627331300417,0.022114304089016597,0.022062319831658933
3.0,491987.48123306804,45916.0621737334,471864.2494981715,512110.7129679646,508875.4296679455,106163.05513106634,10363.08670672339,101621.31558687006,110704.79467526263,109974.60310892027,0.02158065135043379,0.0006755671048778423,0.021284576452885045,0.021876726247982536,0.021829125237160144
4.0,500039.80181856867,39141.78066720028,482885.47530201584,517194.1283351215,514436.1664514032,108219.23777020344,9643.428093633353,103992.89672395389,112445.57881645298,111766.09498466842,0.021631728987273932,0.000666690695055619,0.02133954427636947,0.02192391369817839,0.021876938126452958
5.0,505728.52601458115,46679.609263206854,485270.66116232704,526186.3908668353,522897.30741431174,109175.21141574654,9737.155674534411,104907.79320083023,113442.62963066284,112756.54167685898,0.02160566621370595,0.0007477202107250687,0.021277969404333356,0.02193336302307855,0.021880678045397048
6.0,482434.2678435284,52359.683745594455,459487.04633329104,505381.48935376573,501692.1832069224,103065.15389167795,12513.725337218766,97580.87272934969,108549.43505400623,107667.70773054057,0.021348451466786073,0.0007573346575131019,0.021016541017751033,0.02168036191582111,0.021626999496354327
7.0,505429.9713680368,49297.239046013754,483824.90076202527,527035.0419740484,523561.5181858117,107036.37799935162,11335.5446766725,102068.44778994346,112004.30820875979,111205.59645838592,0.021171135069965923,0.0006835624251950513,0.020871556133178593,0.021470714006753253,0.02142254963912115
8.0,500655.36486682197,37319.40656105712,484299.7143409679,517011.015392676,514381.4594791753,105626.62211690257,8538.629451866094,101884.47152680672,109368.77270699842,108767.13389123611,0.02110163406395979,0.0007417012320987517,0.0207765751398058,0.021426692988113782,0.021374432112589804
9.0,499760.13602168695,29842.434053401033,486681.35296494886,512838.919078425,510736.196763964,103855.8343231109,7450.167322882375,100590.71452832416,107120.95411789765,106596.00923410364,0.020776465367804666,0.0007254389754624539,0.020458533560901854,0.021094397174707475,0.021043282151088593
10.0,518332.3811502933,47937.010574789674,497323.4460019627,539341.3162986239,535963.6353211341,107183.7546593877,10111.527199583412,102752.26390434368,111615.24541443175,110902.77893673771,0.020682920336532292,0.000533158124936801,0.020449257779432965,0.020916582893631616,0.020879016136026166
11.0,517182.5854685507,60040.176739164235,490869.3013425111,543495.8695945903,539265.3896287902,105608.85098745146,12565.620014293061,100101.82639802742,111115.8755768755,110230.49171201345,0.020419712358710037,0.0006344843841722895,0.020141642426524605,0.02069778229089547,0.020653076002179582
12.0,519647.8979336923,48676.854497007414,498314.7178481955,540981.0780191891,537551.2670337489,107946.02066586337,10423.192199197505,103377.93921218406,112514.10211954266,111779.67547103442,0.02077547258270157,0.0007136355101538512,0.02046271377749871,0.02108823138790443,0.0210379480461064
13.0,497255.5200269143,47392.17514664324,476485.36514542135,518025.6749084073,514686.3834808593,103127.76633494691,9917.419895390276,98781.3452936108,107474.18737628302,106775.39785802185,0.020750129219792825,0.0006870030108659254,0.020449042407558845,0.021051216032026806,0.021002809237913943
14.0,532694.6733065823,39173.72654918298,515526.3461472112,549863.0004659533,547102.7876492589,110731.08832423948,9196.50369933695,106700.6169307571,114761.55971772187,114113.56654434279,0.020778112114881425,0.000605074810704807,0.020512931259722488,0.02104329297004036,0.021000658903927973
