Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,-8.670822077834791e-11,3.7532320761221757e-10,-2.5119784651515426e-10,7.778140495845844e-11,5.133582473638074e-11,-7.127575343811244e-10,4.612698956838179e-09,-2.7343248386624988e-09,1.30880976990025e-09,9.837952282218331e-10,0.16281166518889456,2.825460316017358,-1.0754781620580285,1.4011014924358174,1.202017247347687
4.0,6.70348354387791e-17,1.4369734945753648e-16,4.0578525284587225e-18,1.3001181834909947e-16,1.1988678556214341e-16,6.295383080390326e-17,1.2847825316650085e-16,6.646788366731965e-18,1.1926087324107453e-16,1.1020819042797874e-16,0.10014551671920183,0.014233814168159858,0.09390738724081661,0.10638364619758703,0.10538072000806364
7.0,2.777705194550568e-16,8.172363274237366e-16,-8.039251152740752e-17,6.359335504375211e-16,5.783504103093724e-16,2.5969816853915e-16,7.706862057953593e-16,-7.806374700638726e-17,5.974600840846873e-16,5.431569036043912e-16,0.09655829313274938,0.009208819466635492,0.09252242421544617,0.10059416205005259,0.09994530109763539
10.0,5.083127616981832e-16,1.4205666758002125e-15,-1.1426659416723236e-16,1.1308921175635989e-15,1.0307978275656844e-15,4.86684258784369e-16,1.396190939121665e-15,-1.252121557600936e-16,1.0985806733288316e-15,1.000203917676597e-15,0.09482967079819796,0.009296212723509754,0.09075550080112241,0.0989038407952735,0.09824882204248943
13.0,1.1159745349274373e-15,3.17919897361855e-15,-2.7734524574985857e-16,2.509294315604733e-15,2.2852853553444255e-15,1.07869471509802e-15,2.9641529250081917e-15,-2.2037871114482263e-16,2.3777681413408627e-15,2.168911501572929e-15,0.09804896401322057,0.009600699572154456,0.09384134922307191,0.10225657880336923,0.10158010565815995
