Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,1624.6722359769772,6758.041378152227,1083.9262399492545,2165.4182320047,2078.4805813555345,1424.1986530572115,5880.653932660374,953.656984225312,1894.7403218891109,1819.0896697875914,0.08793522796876486,0.004036261043281169,0.08761226575590642,0.08825819018162331,0.08820626640180686
2.0,1945.942927180275,9606.769528396599,1177.2553938313813,2714.630460529169,2591.045840904489,1712.6903345945282,8550.700810097698,1028.5043452575471,2396.876323931509,2286.877317083601,0.08830659558914038,0.004361216961071991,0.08795763196528156,0.0886555592129992,0.0885994550941649
3.0,1788.687030603205,7543.890192606704,1185.0611887560742,2392.3128724503354,2295.265806088657,1568.3864701609655,6661.465884898976,1035.3679810200647,2101.4049593018663,2015.7096873278101,0.0884960167713249,0.004187886188427039,0.08816092224297045,0.08883111129967934,0.08877723696449326
4.0,3654.338715569351,15205.096374200515,2437.6999701859,4870.977460952801,4675.374137045873,3258.4383109761025,13998.93193893674,2138.3110476070246,4378.565574345181,4198.478743521205,0.0885743470861526,0.0044933310671476006,0.08821481232638595,0.08893388184591924,0.08887607816809188
5.0,3007.4118004565225,10498.483502305498,2167.3735999524883,3847.4500009605567,3712.394081649359,2624.4829935999946,9106.142471531926,1895.8532316311175,3353.1127555688713,3235.96836584807,0.08840390440224592,0.004248639556022011,0.0880639486813604,0.08874386012313144,0.0886892042367899
6.0,2702.5793495131043,10861.958500803037,1833.4576262699022,3571.701072756306,3431.969292397373,2374.7672044232304,9471.304906584182,1616.9188991508745,3132.6155096955863,3010.7735511922956,0.08851721019778375,0.004452760491133318,0.08816092170055215,0.08887349869501533,0.08881621693032327
7.0,3923.485786084198,13140.758075168025,2872.0254714302896,4974.946100738107,4805.8990986736535,3494.841995153986,11862.074616629932,2545.695786274376,4443.988204033596,4291.390603443457,0.08819205476701616,0.004453233771174298,0.08783572840019,0.08854838113384234,0.0884910932807213
8.0,4698.089206386478,15300.814449984671,3473.791560541853,5922.386852231102,5725.552179747316,4195.576519977481,13948.8522339241,3079.456393950797,5311.696646004166,5132.2540568554605,0.0884882105769176,0.004754854151746238,0.08810774999664284,0.08886867115719235,0.08880750316102283
9.0,4116.376864198736,13002.088983118307,3076.0121839310123,5156.741544466459,4989.478426874723,3647.782699087383,11716.194840897648,2710.30908885206,4585.256309322706,4434.535353794314,0.08835294988051019,0.004041989979092878,0.08802952926573789,0.0886763704952825,0.0886243730165654
10.0,4980.478415256747,13740.55596814242,3881.0251554722704,6079.931675041224,5903.168677059952,4418.990397935088,12265.960964465383,3437.5271443347506,5400.453651535427,5242.660325106201,0.08843023602448252,0.004457158965149225,0.08807359558249657,0.08878687646646846,0.08872953811837064
11.0,5412.050406344856,15324.191353428396,4185.882253021898,6638.218559667814,6441.083159066053,4784.737127129952,13648.04807791287,3692.6859041847765,5876.788350075128,5701.215403795681,0.08845610585457925,0.004510122159291149,0.08809522755230709,0.08881698415685141,0.08875896447293276
12.0,6427.421909843676,17977.042463504673,4988.98535868743,7865.8584609999225,7634.595917617167,5671.9313137410445,16079.797004184044,4385.3032272275395,6958.5594002545495,6751.7036418718635,0.08829372212942814,0.0045624720440540665,0.08792865504093907,0.0886587892179172,0.08860009608798981
13.0,7498.286866661355,18855.098326164258,5989.592504779531,9006.98122854318,8764.423087876108,6646.317298936188,17037.109459447096,5283.089670016137,8009.544927856239,7790.37398950635,0.0882872130712585,0.004266345918492275,0.08794584057233416,0.08862858557018284,0.08857370190341374
14.0,8921.262389427122,21457.69546609879,7204.320710912621,10638.204067941624,10362.165267972345,7957.803836505547,19536.427206021934,6394.592811711277,9521.014861299818,9269.691883482483,0.08834426628141845,0.0048699988863584315,0.08795459237279585,0.08873394019004104,0.0886712909344131
