Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,-8.755842817356351e-11,3.033419815031328e-10,-2.2050147031889368e-10,4.5384613971766655e-11,2.4010889821850874e-11,-2.1087521237648428e-10,3.265450424128354e-09,-1.6419956633184145e-09,1.220245238565446e-09,9.901589305486834e-10,-0.8556971895115381,3.5060310090694493,-2.392254793216453,0.6808604141933767,0.433822601367171
4.0,1.5384085785995487e-34,7.807754684771317e-35,1.1962249299748255e-34,1.8805922272242717e-34,1.8255781490424191e-34,1.8038970424415535e-34,9.169806961935842e-35,1.402019917697912e-34,2.205774167185195e-34,2.1411629572428054e-34,0.11756434465537101,0.006251541177727542,0.11482453627756058,0.12030415303318143,0.11986366432804912
7.0,1.8132025808220888e-34,6.820411227511262e-35,1.5142903719763282e-34,2.1121147896678494e-34,2.0640576142503714e-34,2.141718175637385e-34,7.464111903052557e-35,1.8145950592168086e-34,2.4688412920579614e-34,2.416248549026018e-34,0.11902746552974391,0.008715927057605757,0.11520761226573753,0.12284731879375028,0.12223318744365846
10.0,3.752404959040092e-34,2.1572055710149566e-34,2.8069853052141e-34,4.697824612866084e-34,4.545826143742024e-34,4.222341111210578e-34,2.3273394662931036e-34,3.20235836032089e-34,5.242323862100267e-34,5.0783376195456826e-34,0.1140088958900531,0.0060319940493239466,0.11136530651562498,0.11665248526448123,0.11622746602960539
13.0,5.444135107817099e-34,3.325083757954812e-34,3.9868796762408595e-34,6.901390539393339e-34,6.667102417895202e-34,6.209141806420195e-34,3.803370567484925e-34,4.542271790137154e-34,7.876011822703235e-34,7.608023221367841e-34,0.11464047817749566,0.004788901214955885,0.11254168824774397,0.11673926810724736,0.11640183821032885
